chinese,pinyinUtf8,pinyinNumber,bookKey,grade,gradeTerm,chapter,page,level(1-5)
网球,wǎng qiú,wang3 qiu2,沪教一年级第二学期,1,2,0,0,0
勺子,sháo zi,shao2 zi,沪教一年级第二学期,1,2,0,0,0
水波,shuǐ bō,shui3 bo1,沪教一年级第二学期,1,2,0,0,0
波动,bō dòng,bo1 dong4,沪教一年级第二学期,1,2,0,0,0
电波,diàn bō,dian4 bo1,沪教一年级第二学期,1,2,0,0,0
四川,sì chuān,si4 chuan1,沪教一年级第二学期,1,2,0,0,0
川流不息,chuān liú bù xī,chuan1 liu2 bu4 xi1,沪教一年级第二学期,1,2,0,0,0
浇水,jiāo shuǐ,jiao1 shui3,沪教一年级第二学期,1,2,0,0,0
浇花,jiāo huā,jiao1 hua1,沪教一年级第二学期,1,2,0,0,0
浇地,jiāo dì,jiao1 di4,沪教一年级第二学期,1,2,0,0,0
烧水,shāo shuǐ,shao1 shui3,沪教一年级第二学期,1,2,0,0,0
烧鸡,shāo jī,shao1 ji1,沪教一年级第二学期,1,2,0,0,0
高烧,gāo shāo,gao1 shao1,沪教一年级第二学期,1,2,0,0,0
挠痒痒,náo yǎng yǎng,nao2 yang3 yang3,沪教一年级第二学期,1,2,0,0,0
阻挠,zǔ náo,zu3 nao2,沪教一年级第二学期,1,2,0,0,0
翘尾巴,qiào wěi bā,qiao4 wei3 ba1,沪教一年级第二学期,1,2,0,0,0
丰收,fēng shōu,feng1 shou1,沪教一年级第二学期,1,2,0,0,0
丰盛,fēng shèng,feng1 sheng4,沪教一年级第二学期,1,2,0,0,0
足球,zú qiú,zu2 qiu2,沪教一年级第二学期,1,2,0,0,0
十足,shí zú,shi2 zu2,沪教一年级第二学期,1,2,0,0,0
手足之情,shǒu zú zhī qíng,shou3 zu2 zhi1 qing2,沪教一年级第二学期,1,2,0,0,0
食用,shí yòng,shi2 yong4,沪教一年级第二学期,1,2,0,0,0
食油,shí yóu,shi2 you2,沪教一年级第二学期,1,2,0,0,0
丰衣足食,fēng yī zú shí,feng1 yi1 zu2 shi2,沪教一年级第二学期,1,2,0,0,0
富足,fù zú,fu4 zu2,沪教一年级第二学期,1,2,0,0,0
丰富,fēng fù,feng1 fu4,沪教一年级第二学期,1,2,0,0,0
富有,fù yǒu,fu4 you3,沪教一年级第二学期,1,2,0,0,0
富饶,fù ráo,fu4 rao2,沪教一年级第二学期,1,2,0,0,0
丰饶,fēng ráo,feng1 rao2,沪教一年级第二学期,1,2,0,0,0
姓胡,xìng hú,xing4 hu2,沪教一年级第二学期,1,2,0,0,0
胡话,hú huà,hu2 hua4,沪教一年级第二学期,1,2,0,0,0
胡说八道,hú shuō bā dào,hu2 shuo1 ba1 dao4,沪教一年级第二学期,1,2,0,0,0
姓吴,xìng wú,xing4 wu2,沪教一年级第二学期,1,2,0,0,0
文章,wén zhāng,wen2 zhang1,沪教一年级第二学期,1,2,0,0,0
章节,zhāng jié,zhang1 jie2,沪教一年级第二学期,1,2,0,0,0
双手,shuāng shǒu,shuang1 shou3,沪教一年级第二学期,1,2,0,0,0
双打,shuāng dǎ,shuang1 da3,沪教一年级第二学期,1,2,0,0,0
双方,shuāng fāng,shuang1 fang1,沪教一年级第二学期,1,2,0,0,0
耳朵,ěr duǒ,er3 duo3,沪教一年级第二学期,1,2,0,0,0
耳机,ěr jī,er3 ji1,沪教一年级第二学期,1,2,0,0,0
耳边风,ěr biān fēng,er3 bian1 feng1,沪教一年级第二学期,1,2,0,0,0
姓陈,xìng chén,xing4 chen2,沪教一年级第二学期,1,2,0,0,0
陈皮,chén pí,chen2 pi2,沪教一年级第二学期,1,2,0,0,0
陈旧,chén jiù,chen2 jiu4,沪教一年级第二学期,1,2,0,0,0
李子,lǐ zǐ,li3 zi3,沪教一年级第二学期,1,2,0,0,0
孙女,sūn nǚ,sun1 nv3,沪教一年级第二学期,1,2,0,0,0
子孙,zǐ sūn,zi3 sun1,沪教一年级第二学期,1,2,0,0,0
外孙,wài sūn,wai4 sun1,沪教一年级第二学期,1,2,0,0,0
解开,jiě kāi,jie3 kai1,沪教一年级第二学期,1,2,0,0,0
解放,jiě fàng,jie3 fang4,沪教一年级第二学期,1,2,0,0,0
解救,jiě jiù,jie3 jiu4,沪教一年级第二学期,1,2,0,0,0
才能,cái néng,cai2 neng2,沪教一年级第二学期,1,2,0,0,0
能人,néng rén,neng2 ren2,沪教一年级第二学期,1,2,0,0,0
能力,néng lì,neng2 li4,沪教一年级第二学期,1,2,0,0,0
竹竿,zhú gān,zhu2 gan1,沪教一年级第二学期,1,2,0,0,0
钓鱼竿,diào yú gān,diao4 yu2 gan1,沪教一年级第二学期,1,2,0,0,0
斜坡,xié pō,xie2 po1,沪教一年级第二学期,1,2,0,0,0
斜阳,xié yáng,xie2 yang2,沪教一年级第二学期,1,2,0,0,0
一块表,yí kuài biǎo,yi2 kuai4 biao3,沪教一年级第二学期,1,2,0,0,0
手表,shǒu biǎo,shou3 biao3,沪教一年级第二学期,1,2,0,0,0
表现,biǎo xiàn,biao3 xian4,沪教一年级第二学期,1,2,0,0,0
一件衣服,yī jiàn yī fú,yi1 jian4 yi1 fu2,沪教一年级第二学期,1,2,0,0,0
文件,wén jiàn,wen2 jian4,沪教一年级第二学期,1,2,0,0,0
头顶,tóu dǐng,tou2 ding3,沪教一年级第二学期,1,2,0,0,0
山顶,shān dǐng,shan1 ding3,沪教一年级第二学期,1,2,0,0,0
顶天立地,dǐng tiān lì dì,ding3 tian1 li4 di4,沪教一年级第二学期,1,2,0,0,0
书包,shū bāo,shu1 bao1,沪教一年级第二学期,1,2,0,0,0
包书,bāo shū,bao1 shu1,沪教一年级第二学期,1,2,0,0,0
面包,miàn bāo,mian4 bao1,沪教一年级第二学期,1,2,0,0,0
饼干,bǐng gān,bing3 gan1,沪教一年级第二学期,1,2,0,0,0
干旱,gān hàn,gan1 han4,沪教一年级第二学期,1,2,0,0,0
能干,néng gàn,neng2 gan4,沪教一年级第二学期,1,2,0,0,0
盒子,hé zi,he2 zi,沪教一年级第二学期,1,2,0,0,0
纸盒,zhǐ hé,zhi3 he2,沪教一年级第二学期,1,2,0,0,0
一盒点心,yī hé diǎn xīn,yi1 he2 dian3 xin1,沪教一年级第二学期,1,2,0,0,0
一颗心,yī kē xīn,yi1 ke1 xin1,沪教一年级第二学期,1,2,0,0,0
一颗豆子,yī kē dòu zi,yi1 ke1 dou4 zi,沪教一年级第二学期,1,2,0,0,0
一颗小石子,yī kē xiǎo shí zǐ,yi1 ke1 xiao3 shi2 zi3,沪教一年级第二学期,1,2,0,0,0
一棵草,yī kē cǎo,yi1 ke1 cao3,沪教一年级第二学期,1,2,0,0,0
一棵树,yī kē shù,yi1 ke1 shu4,沪教一年级第二学期,1,2,0,0,0
句子,jù zi,ju4 zi,沪教一年级第二学期,1,2,0,0,0
造句,zào jù,zao4 ju4,沪教一年级第二学期,1,2,0,0,0
一句话,yī jù huà,yi1 ju4 hua4,沪教一年级第二学期,1,2,0,0,0
反对,fǎn duì,fan3 dui4,沪教一年级第二学期,1,2,0,0,0
反而,fǎn ér,fan3 er2,沪教一年级第二学期,1,2,0,0,0
反面,fǎn miàn,fan3 mian4,沪教一年级第二学期,1,2,0,0,0
义气,yì qì,yi4 qi4,沪教一年级第二学期,1,2,0,0,0
义工,yì gōng,yi4 gong1,沪教一年级第二学期,1,2,0,0,0
正义,zhèng yì,zheng4 yi4,沪教一年级第二学期,1,2,0,0,0
词语,cí yǔ,ci2 yu3,沪教一年级第二学期,1,2,0,0,0
组词,zǔ cí,zu3 ci2,沪教一年级第二学期,1,2,0,0,0
反义词,fǎn yì cí,fan3 yi4 ci2,沪教一年级第二学期,1,2,0,0,0
牢记,láo jì,lao2 ji4,沪教一年级第二学期,1,2,0,0,0
坐牢,zuò láo,zuo4 lao2,沪教一年级第二学期,1,2,0,0,0
牢不可破,láo bù kě pò,lao2 bu4 ke3 po4,沪教一年级第二学期,1,2,0,0,0
坏人,huài rén,huai4 ren2,沪教一年级第二学期,1,2,0,0,0
破坏,pò huài,po4 huai4,沪教一年级第二学期,1,2,0,0,0
坏话,huài huà,huai4 hua4,沪教一年级第二学期,1,2,0,0,0
闲话,xián huà,xian2 hua4,沪教一年级第二学期,1,2,0,0,0
安闲,ān xián,an1 xian2,沪教一年级第二学期,1,2,0,0,0
空闲,kòng xián,kong4 xian2,沪教一年级第二学期,1,2,0,0,0
热闹,rè nào,re4 nao4,沪教一年级第二学期,1,2,0,0,0
胡闹,hú nào,hu2 nao4,沪教一年级第二学期,1,2,0,0,0
吵闹,chǎo nào,chao3 nao4,沪教一年级第二学期,1,2,0,0,0
脑子,nǎo zi,nao3 zi,沪教一年级第二学期,1,2,0,0,0
大脑,dà nǎo,da4 nao3,沪教一年级第二学期,1,2,0,0,0
电脑,diàn nǎo,dian4 nao3,沪教一年级第二学期,1,2,0,0,0
部长,bù zhǎng,bu4 zhang3,沪教一年级第二学期,1,2,0,0,0
部门,bù mén,bu4 men2,沪教一年级第二学期,1,2,0,0,0
门市部,mén shì bù,men2 shi4 bu4,沪教一年级第二学期,1,2,0,0,0
部首,bù shǒu,bu4 shou3,沪教一年级第二学期,1,2,0,0,0
首长,shǒu zhǎng,shou3 zhang3,沪教一年级第二学期,1,2,0,0,0
元首,yuán shǒu,yuan2 shou3,沪教一年级第二学期,1,2,0,0,0
旁边,páng biān,pang2 bian1,沪教一年级第二学期,1,2,0,0,0
路旁,lù páng,lu4 pang2,沪教一年级第二学期,1,2,0,0,0
两旁,liǎng páng,liang3 pang2,沪教一年级第二学期,1,2,0,0,0
喜欢,xǐ huān,xi3 huan1,沪教一年级第二学期,1,2,0,0,0
喜爱,xǐ ài,xi3 ai4,沪教一年级第二学期,1,2,0,0,0
欢天喜地,huān tiān xǐ dì,huan1 tian1 xi3 di4,沪教一年级第二学期,1,2,0,0,0
白鹅,bái é,bai2 e2,沪教一年级第二学期,1,2,0,0,0
天鹅,tiān é,tian1 e2,沪教一年级第二学期,1,2,0,0,0
鹅毛大雪,é máo dà xuě,e2 mao2 da4 xue3,沪教一年级第二学期,1,2,0,0,0
黄昏,huáng hūn,huang2 hun1,沪教一年级第二学期,1,2,0,0,0
昏倒,hūn dǎo,hun1 dao3,沪教一年级第二学期,1,2,0,0,0
天昏地暗,tiān hūn dì àn,tian1 hun1 di4 an4,沪教一年级第二学期,1,2,0,0,0
响亮,xiǎng liàng,xiang3 liang4,沪教一年级第二学期,1,2,0,0,0
响声,xiǎng shēng,xiang3 sheng1,沪教一年级第二学期,1,2,0,0,0
响应,xiǎng yìng,xiang3 ying4,沪教一年级第二学期,1,2,0,0,0
请求,qǐng qiú,qing3 qiu2,沪教一年级第二学期,1,2,0,0,0
请坐,qǐng zuò,qing3 zuo4,沪教一年级第二学期,1,2,0,0,0
请进,qǐng jìn,qing3 jin4,沪教一年级第二学期,1,2,0,0,0
讲话,jiǎng huà,jiang3 hua4,沪教一年级第二学期,1,2,0,0,0
讲课,jiǎng kè,jiang3 ke4,沪教一年级第二学期,1,2,0,0,0
听讲,tīng jiǎng,ting1 jiang3,沪教一年级第二学期,1,2,0,0,0
一束花,yī shù huā,yi1 shu4 hua1,沪教一年级第二学期,1,2,0,0,0
结束,jié shù,jie2 shu4,沪教一年级第二学期,1,2,0,0,0
束皮带,shù pí dài,shu4 pi2 dai4,沪教一年级第二学期,1,2,0,0,0
争取,zhēng qǔ,zheng1 qu3,沪教一年级第二学期,1,2,0,0,0
争光,zhēng guāng,zheng1 guang1,沪教一年级第二学期,1,2,0,0,0
争论,zhēng lùn,zheng1 lun4,沪教一年级第二学期,1,2,0,0,0
再见,zài jiàn,zai4 jian4,沪教一年级第二学期,1,2,0,0,0
再三,zài sān,zai4 san1,沪教一年级第二学期,1,2,0,0,0
一次,yí cì,yi2 ci4,沪教一年级第二学期,1,2,0,0,0
名次,míng cì,ming2 ci4,沪教一年级第二学期,1,2,0,0,0
再次,zài cì,zai4 ci4,沪教一年级第二学期,1,2,0,0,0
完成,wán chéng,wan2 cheng2,沪教一年级第二学期,1,2,0,0,0
完全,wán quán,wan2 quan2,沪教一年级第二学期,1,2,0,0,0
完美,wán měi,wan2 mei3,沪教一年级第二学期,1,2,0,0,0
她们,tā men,ta1 men,沪教一年级第二学期,1,2,0,0,0
灰色,huī sè,hui1 se4,沪教一年级第二学期,1,2,0,0,0
浅灰,qiǎn huī,qian3 hui1,沪教一年级第二学期,1,2,0,0,0
灰心,huī xīn,hui1 xin1,沪教一年级第二学期,1,2,0,0,0
灰兔,huī tù,hui1 tu4,沪教一年级第二学期,1,2,0,0,0
兔子,tù zi,tu4 zi,沪教一年级第二学期,1,2,0,0,0
兔毛,tù máo,tu4 mao2,沪教一年级第二学期,1,2,0,0,0
拿东西,ná dōng xī,na2 dong1 xi1,沪教一年级第二学期,1,2,0,0,0
拿手好戏,ná shǒu hǎo xì,na2 shou3 hao3 xi4,沪教一年级第二学期,1,2,0,0,0
翻土,fān tǔ,fan1 tu3,沪教一年级第二学期,1,2,0,0,0
翻身,fān shēn,fan1 shen1,沪教一年级第二学期,1,2,0,0,0
翻江倒海,fān jiāng dǎo hǎi,fan1 jiang1 dao3 hai3,沪教一年级第二学期,1,2,0,0,0
除草,chú cǎo,chu2 cao3,沪教一年级第二学期,1,2,0,0,0
除法,chú fǎ,chu2 fa3,沪教一年级第二学期,1,2,0,0,0
为民除害,wèi mín chú hài,wei4 min2 chu2 hai4,沪教一年级第二学期,1,2,0,0,0
一些,yī xiē,yi1 xie1,沪教一年级第二学期,1,2,0,0,0
这些,zhèi xiē,zhei4 xie1,沪教一年级第二学期,1,2,0,0,0
有些,yǒu xiē,you3 xie1,沪教一年级第二学期,1,2,0,0,0
挑水,tiāo shuǐ,tiao1 shui3,沪教一年级第二学期,1,2,0,0,0
挑选,tiāo xuǎn,tiao1 xuan3,沪教一年级第二学期,1,2,0,0,0
挑食,tiāo shí,tiao1 shi2,沪教一年级第二学期,1,2,0,0,0
挑担,tiāo dàn,tiao1 dan4,沪教一年级第二学期,1,2,0,0,0
一担,yī dàn,yi1 dan4,沪教一年级第二学期,1,2,0,0,0
担子,dàn zi,dan4 zi,沪教一年级第二学期,1,2,0,0,0
底下,dǐ xià,di3 xia4,沪教一年级第二学期,1,2,0,0,0
到底,dào dǐ,dao4 di3,沪教一年级第二学期,1,2,0,0,0
底细,dǐ xì,di3 xi4,沪教一年级第二学期,1,2,0,0,0
树洞,shù dòng,shu4 dong4,沪教一年级第二学期,1,2,0,0,0
山洞,shān dòng,shan1 dong4,沪教一年级第二学期,1,2,0,0,0
黑洞洞,hēi dòng dòng,hei1 dong4 dong4,沪教一年级第二学期,1,2,0,0,0
一块肉,yí kuài ròu,yi2 kuai4 rou4,沪教一年级第二学期,1,2,0,0,0
肉皮,ròu pí,rou4 pi2,沪教一年级第二学期,1,2,0,0,0
猪肉,zhū ròu,zhu1 rou4,沪教一年级第二学期,1,2,0,0,0
一直,yī zhí,yi1 zhi2,沪教一年级第二学期,1,2,0,0,0
直立,zhí lì,zhi2 li4,沪教一年级第二学期,1,2,0,0,0
心直口快,xīn zhí kǒu kuài,xin1 zhi2 kou3 kuai4,沪教一年级第二学期,1,2,0,0,0
羽毛,yǔ máo,yu3 mao2,沪教一年级第二学期,1,2,0,0,0
羽毛球,yǔ máo qiú,yu3 mao2 qiu2,沪教一年级第二学期,1,2,0,0,0
差不多,chà bù duō,cha4 bu4 duo1,沪教一年级第二学期,1,2,0,0,0
差点儿,chà diǎn er,cha4 dian3 er,沪教一年级第二学期,1,2,0,0,0
相差,xiāng chà,xiang1 cha4,沪教一年级第二学期,1,2,0,0,0
享受,xiǎng shòu,xiang3 shou4,沪教一年级第二学期,1,2,0,0,0
受苦,shòu kǔ,shou4 ku3,沪教一年级第二学期,1,2,0,0,0
受惊,shòu jīng,shou4 jing1,沪教一年级第二学期,1,2,0,0,0
刚才,gāng cái,gang1 cai2,沪教一年级第二学期,1,2,0,0,0
刚好,gāng hǎo,gang1 hao3,沪教一年级第二学期,1,2,0,0,0
刚刚,gāng gāng,gang1 gang1,沪教一年级第二学期,1,2,0,0,0
牧羊,mù yáng,mu4 yang2,沪教一年级第二学期,1,2,0,0,0
放牧,fàng mù,fang4 mu4,沪教一年级第二学期,1,2,0,0,0
牧民,mù mín,mu4 min2,沪教一年级第二学期,1,2,0,0,0
牧童,mù tóng,mu4 tong2,沪教一年级第二学期,1,2,0,0,0
儿童,ér tóng,er2 tong2,沪教一年级第二学期,1,2,0,0,0
童年,tóng nián,tong2 nian2,沪教一年级第二学期,1,2,0,0,0
骑马,qí mǎ,qi2 ma3,沪教一年级第二学期,1,2,0,0,0
骑车,qí chē,qi2 che1,沪教一年级第二学期,1,2,0,0,0
骑兵,qí bīng,qi2 bing1,沪教一年级第二学期,1,2,0,0,0
闭眼,bì yǎn,bi4 yan3,沪教一年级第二学期,1,2,0,0,0
关闭,guān bì,guan1 bi4,沪教一年级第二学期,1,2,0,0,0
闭门造车,bì mén zào chē,bi4 men2 zao4 che1,沪教一年级第二学期,1,2,0,0,0
织布,zhī bù,zhi1 bu4,沪教一年级第二学期,1,2,0,0,0
织网,zhī wǎng,zhi1 wang3,沪教一年级第二学期,1,2,0,0,0
纺织,fǎng zhī,fang3 zhi1,沪教一年级第二学期,1,2,0,0,0
早晨,zǎo chén,zao3 chen2,沪教一年级第二学期,1,2,0,0,0
清晨,qīng chén,qing1 chen2,沪教一年级第二学期,1,2,0,0,0
晨光,chén guāng,chen2 guang1,沪教一年级第二学期,1,2,0,0,0
抽纱,chōu shā,chou1 sha1,沪教一年级第二学期,1,2,0,0,0
抽水,chōu shuǐ,chou1 shui3,沪教一年级第二学期,1,2,0,0,0
抽烟,chōu yān,chou1 yan1,沪教一年级第二学期,1,2,0,0,0
抽丝,chōu sī,chou1 si1,沪教一年级第二学期,1,2,0,0,0
丝带,sī dài,si1 dai4,沪教一年级第二学期,1,2,0,0,0
真丝,zhēn sī,zhen1 si1,沪教一年级第二学期,1,2,0,0,0
散步,sàn bù,san4 bu4,沪教一年级第二学期,1,2,0,0,0
散会,sàn huì,san4 hui4,沪教一年级第二学期,1,2,0,0,0
解散,jiě sàn,jie3 san4,沪教一年级第二学期,1,2,0,0,0
岩石,yán shí,yan2 shi2,沪教一年级第二学期,1,2,0,0,0
岩洞,yán dòng,yan2 dong4,沪教一年级第二学期,1,2,0,0,0
害虫,hài chóng,hai4 chong2,沪教一年级第二学期,1,2,0,0,0
受害,shòu hài,shou4 hai4,沪教一年级第二学期,1,2,0,0,0
害群之马,hài qún zhī mǎ,hai4 qun2 zhi1 ma3,沪教一年级第二学期,1,2,0,0,0
教书,jiāo shū,jiao1 shu1,沪教一年级第二学期,1,2,0,0,0
教师,jiào shī,jiao4 shi1,沪教一年级第二学期,1,2,0,0,0
请教,qǐng jiào,qing3 jiao4,沪教一年级第二学期,1,2,0,0,0
摇头,yáo tóu,yao2 tou2,沪教一年级第二学期,1,2,0,0,0
摇手,yáo shǒu,yao2 shou3,沪教一年级第二学期,1,2,0,0,0
摇身一变,yáo shēn yī biàn,yao2 shen1 yi1 bian4,沪教一年级第二学期,1,2,0,0,0
理由,lǐ yóu,li3 you2,沪教一年级第二学期,1,2,0,0,0
理解,lǐ jiě,li3 jie3,沪教一年级第二学期,1,2,0,0,0
理想,lǐ xiǎng,li3 xiang3,沪教一年级第二学期,1,2,0,0,0
爬山,pá shān,pa2 shan1,沪教一年级第二学期,1,2,0,0,0
爬坡,pá pō,pa2 po1,沪教一年级第二学期,1,2,0,0,0
爬虫,pá chóng,pa2 chong2,沪教一年级第二学期,1,2,0,0,0
跟从,gēn cóng,gen1 cong2,沪教一年级第二学期,1,2,0,0,0
跟前,gēn qián,gen1 qian2,沪教一年级第二学期,1,2,0,0,0
跟头,gēn tou,gen1 tou,沪教一年级第二学期,1,2,0,0,0
招呼,zhāo hū,zhao1 hu1,沪教一年级第二学期,1,2,0,0,0
招手,zhāo shǒu,zhao1 shou3,沪教一年级第二学期,1,2,0,0,0
招手,zhāo shǒu,zhao1 shou3,沪教一年级第二学期,1,2,0,0,0
打鼓,dǎ gǔ,da3 gu3,沪教一年级第二学期,1,2,0,0,0
鼓掌,gǔ zhǎng,gu3 zhang3,沪教一年级第二学期,1,2,0,0,0
一鼓作气,yī gǔ zuò qì,yi1 gu3 zuo4 qi4,沪教一年级第二学期,1,2,0,0,0
似的,shì de,shi4 de,沪教一年级第二学期,1,2,0,0,0
相似,xiāng sì,xiang1 si4,沪教一年级第二学期,1,2,0,0,0
近似,jìn sì,jin4 si4,沪教一年级第二学期,1,2,0,0,0
原来,yuán lái,yuan2 lai2,沪教一年级第二学期,1,2,0,0,0
原先,yuán xiān,yuan2 xian1,沪教一年级第二学期,1,2,0,0,0
草原,cǎo yuán,cao3 yuan2,沪教一年级第二学期,1,2,0,0,0
口袋,kǒu dài,kou3 dai4,沪教一年级第二学期,1,2,0,0,0
脑袋,nǎo dài,nao3 dai4,沪教一年级第二学期,1,2,0,0,0
衣袋,yī dài,yi1 dai4,沪教一年级第二学期,1,2,0,0,0
前腿,qián tuǐ,qian2 tui3,沪教一年级第二学期,1,2,0,0,0
小腿,xiǎo tuǐ,xiao3 tui3,沪教一年级第二学期,1,2,0,0,0
火腿,huǒ tuǐ,huo3 tui3,沪教一年级第二学期,1,2,0,0,0
摇摆,yáo bǎi,yao2 bai3,沪教一年级第二学期,1,2,0,0,0
摆动,bǎi dòng,bai3 dong4,沪教一年级第二学期,1,2,0,0,0
大摇大摆,dà yáo dà bǎi,da4 yao2 da4 bai3,沪教一年级第二学期,1,2,0,0,0
连长,lián cháng,lian2 chang2,沪教一年级第二学期,1,2,0,0,0
连声,lián shēng,lian2 sheng1,沪教一年级第二学期,1,2,0,0,0
连写,lián xiě,lian2 xie3,沪教一年级第二学期,1,2,0,0,0
连忙,lián máng,lian2 mang2,沪教一年级第二学期,1,2,0,0,0
农忙,nóng máng,nong2 mang2,沪教一年级第二学期,1,2,0,0,0
急忙,jí máng,ji2 mang2,沪教一年级第二学期,1,2,0,0,0
追赶,zhuī gǎn,zhui1 gan3,沪教一年级第二学期,1,2,0,0,0
追兵,zhuī bīng,zhui1 bing1,沪教一年级第二学期,1,2,0,0,0
追问,zhuī wèn,zhui1 wen4,沪教一年级第二学期,1,2,0,0,0
眼睛,yǎn jīng,yan3 jing1,沪教一年级第二学期,1,2,0,0,0
目不转睛,mù bù zhuàn jīng,mu4 bu4 zhuan4 jing1,沪教一年级第二学期,1,2,0,0,0
披衣,pī yī,pi1 yi1,沪教一年级第二学期,1,2,0,0,0
雨披,yǔ pī,yu3 pi1,沪教一年级第二学期,1,2,0,0,0
披肩,pī jiān,pi1 jian1,沪教一年级第二学期,1,2,0,0,0
西瓜,xī guā,xi1 gua1,沪教一年级第二学期,1,2,0,0,0
冬瓜,dōng guā,dong1 gua1,沪教一年级第二学期,1,2,0,0,0
瓜果,guā guǒ,gua1 guo3,沪教一年级第二学期,1,2,0,0,0
甜美,tián měi,tian2 mei3,沪教一年级第二学期,1,2,0,0,0
甜食,tián shí,tian2 shi2,沪教一年级第二学期,1,2,0,0,0
甜言蜜语,tián yán mì yǔ,tian2 yan2 mi4 yu3,沪教一年级第二学期,1,2,0,0,0
发芽,fā yá,fa1 ya2,沪教一年级第二学期,1,2,0,0,0
绿豆芽,lǜ dòu yá,lv4 dou4 ya2,沪教一年级第二学期,1,2,0,0,0
穿衣服,chuān yī fú,chuan1 yi1 fu2,沪教一年级第二学期,1,2,0,0,0
穿鞋子,chuān xié zǐ,chuan1 xie2 zi3,沪教一年级第二学期,1,2,0,0,0
水滴石穿,shuǐ dī shí chuān,shui3 di1 shi2 chuan1,沪教一年级第二学期,1,2,0,0,0
练习,liàn xí,lian4 xi2,沪教一年级第二学期,1,2,0,0,0
练一练,liàn yī liàn,lian4 yi1 lian4,沪教一年级第二学期,1,2,0,0,0
时刻,shí kè,shi2 ke4,沪教一年级第二学期,1,2,0,0,0
木刻,mù kè,mu4 ke4,沪教一年级第二学期,1,2,0,0,0
片刻,piàn kè,pian4 ke4,沪教一年级第二学期,1,2,0,0,0
刻苦,kè kǔ,ke4 ku3,沪教一年级第二学期,1,2,0,0,0
苦难,kǔ nàn,ku3 nan4,沪教一年级第二学期,1,2,0,0,0
劳苦,láo kǔ,lao2 ku3,沪教一年级第二学期,1,2,0,0,0
另一个,lìng yí gè,ling4 yi2 ge4,沪教一年级第二学期,1,2,0,0,0
另外,lìng wài,ling4 wai4,沪教一年级第二学期,1,2,0,0,0
练功,liàn gōng,lian4 gong1,沪教一年级第二学期,1,2,0,0,0
功劳,gōng láo,gong1 lao2,沪教一年级第二学期,1,2,0,0,0
用功,yòng gōng,yong4 gong1,沪教一年级第二学期,1,2,0,0,0
快慢,kuài màn,kuai4 man4,沪教一年级第二学期,1,2,0,0,0
慢车,màn chē,man4 che1,沪教一年级第二学期,1,2,0,0,0
应当,yīng dāng,ying1 dang1,沪教一年级第二学期,1,2,0,0,0
应有,yīng yǒu,ying1 you3,沪教一年级第二学期,1,2,0,0,0
答应,dā yìng,da1 ying4,沪教一年级第二学期,1,2,0,0,0
应该,yīng gāi,ying1 gai1,沪教一年级第二学期,1,2,0,0,0
活该,huó gāi,huo2 gai1,沪教一年级第二学期,1,2,0,0,0
使用,shǐ yòng,shi3 yong4,沪教一年级第二学期,1,2,0,0,0
天使,tiān shǐ,tian1 shi3,沪教一年级第二学期,1,2,0,0,0
怒火,nù huǒ,nu4 huo3,沪教一年级第二学期,1,2,0,0,0
发怒,fā nù,fa1 nu4,沪教一年级第二学期,1,2,0,0,0
怒气,nù qì,nu4 qi4,沪教一年级第二学期,1,2,0,0,0
怒气冲冲,nù qì chōng chōng,nu4 qi4 chong1 chong1,沪教一年级第二学期,1,2,0,0,0
怒火冲天,nù huǒ chōng tiān,nu4 huo3 chong1 tian1,沪教一年级第二学期,1,2,0,0,0
冲洗,chōng xǐ,chong1 xi3,沪教一年级第二学期,1,2,0,0,0
扑打,pū dǎ,pu1 da3,沪教一年级第二学期,1,2,0,0,0
扑灭,pū miè,pu1 mie4,沪教一年级第二学期,1,2,0,0,0
扑空,pū kōng,pu1 kong1,沪教一年级第二学期,1,2,0,0,0
吓人,xià rén,xia4 ren2,沪教一年级第二学期,1,2,0,0,0
吓一跳,xià yī tiào,xia4 yi1 tiao4,沪教一年级第二学期,1,2,0,0,0
大伙儿,dà huǒ ér,da4 huo3 er2,沪教一年级第二学期,1,2,0,0,0
一伙,yī huǒ,yi1 huo3,沪教一年级第二学期,1,2,0,0,0
伙食,huǒ shí,huo3 shi2,沪教一年级第二学期,1,2,0,0,0
伙伴,huǒ bàn,huo3 ban4,沪教一年级第二学期,1,2,0,0,0
伴唱,bàn chàng,ban4 chang4,沪教一年级第二学期,1,2,0,0,0
先后,xiān hòu,xian1 hou4,沪教一年级第二学期,1,2,0,0,0
先进,xiān jìn,xian1 jin4,沪教一年级第二学期,1,2,0,0,0
先生,xiān shēng,xian1 sheng1,沪教一年级第二学期,1,2,0,0,0
时钟,shí zhōng,shi2 zhong1,沪教一年级第二学期,1,2,0,0,0
钟点,zhōng diǎn,zhong1 dian3,沪教一年级第二学期,1,2,0,0,0
花盆,huā pén,hua1 pen2,沪教一年级第二学期,1,2,0,0,0
一盆花,yī pén huā,yi1 pen2 hua1,沪教一年级第二学期,1,2,0,0,0
盆景,pén jǐng,pen2 jing3,沪教一年级第二学期,1,2,0,0,0
木床,mù chuáng,mu4 chuang2,沪教一年级第二学期,1,2,0,0,0
小床,xiǎo chuáng,xiao3 chuang2,沪教一年级第二学期,1,2,0,0,0
车床,chē chuáng,che1 chuang2,沪教一年级第二学期,1,2,0,0,0
